Label,AspectRatio,PercentFilled, HuMoment1, HuMoment2, HuMoment3
remote,4.05882,0.983449,0.358923,0.101313,2.4458e-06
ball,1.05646,0.811091,0.159811,0.000100672,5.46544e-06
perfume,1.66824,0.778499,0.192544,0.00751593,0.00113015
star,1.07996,0.547671,0.176503,0.000504954,1.62264e-05
pen,12.0407,0.586394,1.53673,2.32296,0.323025
